ward_key,ward_id,ward_name,district,pred_baseline_trips,pred_gain_trips,delta_stops,delta_routes,investment_cost_units,roi_gain_per_cost
CANT_1,CANT_1,DELHI CANTT CHARGE 1,New Delhi,-0.4683898143433136,0.27571868708775116,4.560521708134643,47.304641768662364,477.60693939475823,0.0005772920457072402
CANT_2,CANT_2,DELHI CANTT CHARGE 2,New Delhi,-0.37916850364730886,0.38557958413440374,45.704133125153106,317.1850511986217,3217.55464511137,0.0001198362193226831
CANT_4,CANT_4,DELHI CANTT CHARGE 4,South,-0.33480133421539454,0.3934304984267093,48.869285006453076,249.7107250168308,2545.976535174761,0.00015453029240096626
CANT_5,CANT_5,DELHI CANTT CHARGE 5,New Delhi,-0.4254374122439127,0.2862384860026571,17.202590064356738,93.75877626864197,954.7903527507764,0.00029979197546110164
CANT_6,CANT_6,DELHI CANTT CHARGE 6,New Delhi,-0.23036120895091894,0.4783650931450524,82.36248781908928,535.2850433129337,5435.2129209484265,8.801220855603412e-05
CANT_7,CANT_7,DELHI CANTT CHARGE 7,New Delhi,-0.5297275464515935,0.4076485846432547,27.143326165738156,175.92316027677055,1786.3749289334437,0.00022819878293209889
CANT_8,CANT_8,DELHI CANTT CHARGE 8,New Delhi,-0.2140238796654279,0.04322451789376844,2.147982789576431,0.0,2.147982789576431,0.020123307357676146
CANT_3,CANT_3,DELHI CANTT CHARGE 3,New Delhi,-0.3150464173676539,0.21747129850296104,18.134023341649975,86.51433175218199,883.2773408634698,0.000246209529489481
NDMC_1,NDMC_1,NDMC CHARGE 1,South East,0.5548250048152308,0.0,0.0,0.0,0.0,0.0
NDMC_2,NDMC_2,NDMC CHARGE 2,Central,0.12478739567501694,0.0,0.0,0.0,0.0,0.0
NDMC_3,NDMC_3,NDMC CHARGE 3,Central,-0.15369555504350513,0.17225339027070066,29.371267243752005,54.04954136041283,569.8666808478803,0.0003022696291246752
NDMC_4,NDMC_4,NDMC CHARGE 4,New Delhi,1.1732507242760266,0.0,0.0,0.0,0.0,0.0
NDMC_5,NDMC_5,NDMC CHARGE 5,South East,-0.08006500136994796,0.13831797592058176,0.0,158.33611182050473,1583.3611182050472,8.73571886603458e-05
NDMC_7,NDMC_7,NDMC CHARGE 7,South East,-0.12213775240574715,0.03487875728031377,2.698846734299304,0.0,2.698846734299304,0.012923578365573875
NDMC_8,NDMC_8,NDMC CHARGE 8,New Delhi,-0.30719696954759484,0.21136142609771785,0.0,40.88019692734311,408.80196927343104,0.0005170264381868223
NDMC_9,NDMC_9,NDMC CHARGE 9,South East,-0.2060536899741994,0.32947531913815775,42.61209888271135,278.3720035136972,2826.3321340196835,0.00011657346112024448
NDMC_6,NDMC_6,NDMC CHARGE 6,South East,-0.2814640053430622,0.08008318523794411,0.1702618059459523,19.27823646630308,192.95262646897677,0.0004150406589588713
80,80,CHANDNI CHOWK,Central,-0.2907567799589574,0.12435047122599713,7.605893150025192,12.768984429755111,135.2957374475763,0.0009191011747377534
81,81,MINTO ROAD,Central,1.5853845238454802,0.0,0.0,0.0,0.0,0.0
108,108,KHYALA,West,-0.5912504458830877,0.3104398793814849,7.659622556606752,66.46733505279785,672.3329730845853,0.00046173531837470524
109,109,JANAK PURI NORTH,West,-0.05394216841394227,0.02887705298238087,2.0204285355387515,0.0,2.0204285355387515,0.014292538666995319
11,11,MUKHERJEE NAGAR,Central,-0.35123363666363583,0.16446728853999112,1.3798141987510695,74.29565813014698,744.3363955002209,0.00022095827845317468
117,117,JANAK PURI WEST,South West,0.17935617766849762,0.0,0.0,0.0,0.0,0.0
118,118,JANAK PURI SOUTH,New Delhi,0.10915213462596579,0.0,0.0,0.0,0.0,0.0
119,119,MILAP NAGAR,South West,0.37357608320760893,0.0,0.0,0.0,0.0,0.0
120,120,SITA PURI,South West,0.09568525337506337,0.0,0.0,0.0,0.0,0.0
133,133,CHHAWLA,South West,4.388058661699621,4.030385877640806,476.4475105319377,3221.766287858114,32694.110389113077,0.00012327559397312045
134,134,NANGLI SAKRAVATI,South West,0.04558197894786482,0.567318139289418,109.47081184318898,678.3511580008882,6892.982391852071,8.230372675257964e-05
135,135,KAKRAULA,South West,-0.27877370246887245,0.33916056251022764,42.41128290693404,272.4115159115997,2766.526442022931,0.00012259436864883356
